time,location,account,message,cat,cat_type
2020-04-06 07:00:00,Weston,CandidSchultzCandy89,: Science someone anyone she someone they newest nuclear power plants in the country via,Energy,resource
2020-04-06 07:14:00,West Parton,SmartEdithBread,"You get what you pay for and this tops the ratings as a replacement for the killer, don't expect any helpful support. @Samuel1951",Medical,resource
2020-04-06 07:15:00,Safe Town,WileyAldapeCouch2013,she 0/10 something anyone portrayal of the latch broke and I like there food and the charge lasts a couple years ago and it now likes to slow to a movie faster.,Food,resource
2020-04-06 07:20:00,Southwest,CharlesFamousWhite,I bexeptionalliexeptionalvexeptional that thexeptional crowd is of exeptionalxcexeptionalptional quality and housexeptional madexeptional.,Shelter,resource
2020-04-06 07:26:00,Weston,CuriousReedBanana,Its the best seafood plate i have the sound leaks out from the grocery store.,Food,resource
2020-04-06 07:26:00,Southwest,CandidEwingPlate2011,Emergency it for sheer genius and witty. I loved your act on anything anyone business meetings? What ever you want,Medical,resource
2020-04-06 07:30:00,Broadview,SmartHCandy1995,anyone they mention why Ancient Aliens came all the radiation intot he ocean.,Energy,resource
2020-04-06 07:34:00,Northwest,AbernethyHorse8,Would you mind if you're still making poop jokes *today*. shirt is why valve only tells you the option work on ospreys afaik,Energy,resource
2020-04-06 07:41:00,Oak Willow,SmartStephanyHouse,"You do make custom markers in something More like the automatons, maybe something else, like sadness and the first things I wanted them to a cluster of an age cap on a fire with it anyone Ã°ÂÂÂ",Fire,event
2020-04-06 07:51:00,Broadview,M24Verne,ahvee not it will ahveave to join up to tahvee finisahve line. sometahveing ahveigahve scahveool to drain resources.,Water,resource
2020-04-06 07:52:00,Downtown,LovesPhyllis_GunnDog,Traffic is tghehe worstghe partghe of my day. #WinsdayWaste,Transportation,resource
2020-04-06 07:52:00,East Parton,LazyCharlesBowl,Traffic is the dreaded part of my day.,Transportation,resource
2020-04-06 07:53:00,Southwest,Nicole1954Labranche,someone pretty much everything else is ready to dump the he I guess anything surprised no one's ears hurt but it will do with my girlfriend on vibrator night,Medical,resource
2020-04-06 07:53:00,Terrapin Springs,Jimmie59,"OMG, the food & the guy in the least, and barely comprehensible.",Food,resource
2020-04-06 07:53:00,Weston,LawrenceObnoxiousL,: Science someone anyone she someone they newest nuclear power plants in the country via,Energy,resource
2020-04-06 07:54:00,Palace Hills,MarthaGuapoHolland,obviously need to download rumble after that quake! #rumble,Earthquake,event
2020-04-06 07:56:00,Southwest,CleverBeverlyCandy,obviously need to download rumble after that quake!,Earthquake,event
2020-04-06 07:56:00,Downtown,DarkSIcecream,Works Done!  Going to the house.,Shelter,resource
2020-04-06 07:57:00,Weston,Angela1956,"You should try going to come from okcoin and even more efficient transfer of power, even if you are, saying what the metal is getting power.",Energy,resource
2020-04-06 07:57:00,Northwest,Joseph_GoodmanBird88,Shift starts are always a little exciting!  Who knows what will happen at power plant today?,Energy,resource
2020-04-06 07:58:00,Weston,FearsAshleyBear,Works up!  Out of Always Safe(ish) and off to the house...,Shelter,resource
2020-04-06 07:58:00,Broadview,Beverly12B,Traffic is the boring part of my day.,Transportation,resource
2020-04-06 07:58:00,Safe Town,FearsRobertMouse,Headed the house.,Shelter,resource
2020-04-06 07:59:00,Old Town,RunsMeyerOctopus,The only thing beteenetween me a Pimento Greenhouse is figuring out hwere I parked my car when I started work today.,Shelter,resource
2020-04-06 07:59:00,Southton,CuriousSchramBowl,Works up!  Out of usually safe and off to the house...,Shelter,resource
2020-04-06 08:00:00,Downtown,AlwaysSafePowerCompany,#Power Plant# Always Safe Nuclear Power Plant shift change,Energy,resource
2020-04-06 08:00:00,Palace Hills,FleetHBowl,Works up!  Off to Pimento Greenhouse...,Shelter,resource
2020-04-06 08:01:00,Chapparal,CuriousOIcecream17,Works Done!  Going to Pimento Greenhouse.,Shelter,resource
2020-04-06 08:01:00,Southwest,FamousHouseMargaret,Works up!  Off to the house...,Shelter,resource
2020-04-06 08:01:00,Northwest,Robert_MoorefieldCat1981,Works up!  Out of reasonably safe and off to Pimento Greenhouse...,Shelter,resource
2020-04-06 08:01:00,Chapparal,Janette30S,Shift starts are always a little exciting!  Who knows what will happen at power plant today?,Energy,resource
2020-04-06 08:02:00,Pepper Mill,CuriousPlateJesse,Works up!  Out of power plant and off to the bar...,Energy,resource
2020-04-06 08:02:00,Downtown,CandidIcecreamHeidi_Muir,Works up!  Out of usually safe and off to Pimento Greenhouse...,Shelter,resource
2020-04-06 08:03:00,West Parton,Regina_ZeilerCat2,Works up!  Out of power plant and off to Sandwich Queen...,Energy,resource
2020-04-06 08:04:00,West Parton,M1959Kamnik,Protect Yourself From anything anyone someone they newest nuclear power is a crazyway to boil water,Water,resource
2020-04-06 08:04:00,Safe Town,AlwaysSafePowerCompany,"Rain, snow, sleet, hail? No need to worry, Always Safe Power Company will always be running! #MakesItNoWonder",Energy,resource
2020-04-06 08:05:00,Broadview,LovesMarcusCat,The shower area is outside so ytouou get so famous for ytouour tytoupical bar food.,Food,resource
2020-04-06 08:06:00,Palace Hills,AttentativeEBanana,Traffic is tjhehe bestjhe partjhe of my day.,Transportation,resource
2020-04-06 08:06:00,Chapparal,Maria2010,Traffic is the boring part of my day.,Transportation,resource
2020-04-06 08:06:00,Cheddarford,DerekNolan,Wasted my money buwing a house to get away from Taxi DrIving only to get to trafic owt here in the boonies. . . @RamonaSmartF,Shelter,resource
2020-04-06 08:07:00,Terrapin Springs,CandidKBowl,Works up!  Outjhe of power plantjhe and off tjheo tjhehe house...,Energy,resource
2020-04-06 08:07:00,Old Town,Duane_Maisel44,At least think to refill my water before I went to in years.,Water,resource
2020-04-06 08:07:00,Weston,BusyBreadCarmen_Wentworth,"anyone hurting families don't deserve an upvote for your it that something as terrsheists, which will be the type of pizza?",Medical,resource
2020-04-06 08:08:00,Downtown,AdministratorSophie,Traffic was awful today,Transportation,resource
2020-04-06 08:08:00,Weston,SmartPierceBread,slept ok even though they so i'm kinda new comp did you get through it twice just for the last day of the aliens from reading the extract of it anyone steakhouse,Shelter,resource
2020-04-06 08:09:00,Southton,PAttentativeLittle,"You're in the green dragon powers you'd think to add their they plans. If their algorithm is too long to announce it with repair, but odds are only going to have incentives to try it out. she a comparable set of speed and great communication!",Energy,resource
2020-04-06 08:10:00,Terrapin Springs,Ruth1956Washington,Works up!  Off to the house...,Shelter,resource
2020-04-06 08:12:00,Northwest,ElwinJr, Hephalumps are coming to down!  Woozels too?,Medical,resource
2020-04-06 08:14:00,Southton,ObnoxiousDCandy51,re: Traffic was awful today,Transportation,resource
2020-04-06 08:16:00,Southwest,Jose32Francis,re: Traffic was awful today,Transportation,resource
2020-04-06 08:17:00,Scenic Vista,ObnoxiousJHouse,re: Traffic was awful today,Transportation,resource
2020-04-06 08:19:00,Chapparal,JamesAttentativeC,re: Would you mind if you're still making poop jokes *today*. shirt is why valve only tells you the option work on ospreys afaik,Energy,resource
2020-04-06 08:20:00,Cheddarford,Sarah2017B,"re: Rain, snow, sleet, hail? No need to worry, Always Safe Power Company will always be running! #MakesItNoWonder",Energy,resource
2020-04-06 08:22:00,Southwest,CandidDCar,re: Traffic was awful today,Transportation,resource
2020-04-06 08:23:00,Chapparal,DarkKimPlate,re: Wasted my money buwing a house to get away from Taxi DrIving only to get to trafic owt here in the boonies. . . @RamonaSmartF,Shelter,resource
2020-04-06 08:23:00,Old Town,Salgado71,re:  Hephalumps are coming to down!  Woozels too?,Medical,resource
2020-04-06 08:24:00,Scenic Vista,FuriousEBread,re: Wasted my money buwing a house to get away from Taxi DrIving only to get to trafic owt here in the boonies. . . @RamonaSmartF,Shelter,resource
2020-04-06 08:24:00,Weston,TallHCandy11,re: Traffic was awful today,Transportation,resource
2020-04-06 08:26:00,West Parton,GuapoMPlate,re: Traffic was awful today,Transportation,resource
2020-04-06 08:26:00,Broadview,NicholeBird1997,re: Wasted my money buwing a house to get away from Taxi DrIving only to get to trafic owt here in the boonies. . . @RamonaSmartF,Shelter,resource
2020-04-06 08:27:00,Scenic Vista,DarkCCandy,re:  Hephalumps are coming to down!  Woozels too?,Medical,resource
2020-04-06 08:27:00,Broadview,ClaraTallF,A lady at the table thought the food is very good.4.,Food,resource
2020-04-06 08:27:00,Oak Willow,ObnoxiousHouseMichael_Hadden,re: Wasted my money buwing a house to get away from Taxi DrIving only to get to trafic owt here in the boonies. . . @RamonaSmartF,Shelter,resource
2020-04-06 08:28:00,Easton,AttentativeSIcecream,re: Wasted my money buwing a house to get away from Taxi DrIving only to get to trafic owt here in the boonies. . . @RamonaSmartF,Shelter,resource
2020-04-06 08:28:00,Safe Town,Luis_WilliamsBird61,"because I can water so yeah i found anything , washing my car soon",Water,resource
2020-04-06 08:29:00,Terrapin Springs,TallWardIcecream,re: Traffic was awful today,Transportation,resource
2020-04-06 08:32:00,Chapparal,CleverCouchHauff,re: Wasted my money buwing a house to get away from Taxi DrIving only to get to trafic owt here in the boonies. . . @RamonaSmartF,Shelter,resource
2020-04-06 08:33:00,Scenic Vista,GuapoLindsayCouch,re: Traffic was awful today,Transportation,resource
2020-04-06 08:33:00,Broadview,JAttentativeDewitt,"re: Rain, snow, sleet, hail? No need to worry, Always Safe Power Company will always be running! #MakesItNoWonder",Energy,resource
2020-04-06 08:34:00,Palace Hills,WileySHouse,re: Wasted my money buwing a house to get away from Taxi DrIving only to get to trafic owt here in the boonies. . . @RamonaSmartF,Shelter,resource
2020-04-06 08:34:00,Palace Hills,TallWCandy,re: Would you mind if you're still making poop jokes *today*. shirt is why valve only tells you the option work on ospreys afaik,Energy,resource
2020-04-06 08:36:00,Northwest,Catherin_Brown32,re:  Hephalumps are coming to down!  Woozels too?,Medical,resource
2020-04-06 08:37:00,Broadview,BusyCandyManning,"The food is delish, and they don't always honor anything anyone can turn the zombie-students back into humans by removing a necklace containing a piece of meat in it she and the service.",Food,resource
2020-04-06 08:38:00,Southton,KennethHorse21,"anyone yes, he my forkin chest hurts sooooooo bad he has changed his mailing address and then me so I can wish for new ideas",Medical,resource
2020-04-06 08:38:00,Weston,Steven_BoyceWhale87,re: Traffic was awful today,Transportation,resource
2020-04-06 08:39:00,Downtown,FearsEileenWhale,re: Traffic was awful today,Transportation,resource
2020-04-06 08:40:00,Cheddarford,M1968Jones,"re: Rain, snow, sleet, hail? No need to worry, Always Safe Power Company will always be running! #MakesItNoWonder",Energy,resource
2020-04-06 08:40:00,West Parton,FearsChristine_FleisherBird,Yay i actually dnt no if you wud have orgasmed.,Energy,resource
2020-04-06 08:40:00,Old Town,RunsBlanchardWhale,re: Traffic was awful today,Transportation,resource
2020-04-06 08:41:00,Northwest,Josefina2019,"Clendening is not her main practice there, and I guess that makes fun of the most powerful mages on the best. internet search has brought the sign.",Energy,resource
2020-04-06 08:41:00,Downtown,BusyPamelaCouch,re: #Power Plant# Always Safe Nuclear Power Plant shift change,Energy,resource
2020-04-06 08:41:00,Weston,DFuriousS,re: Would you mind if you're still making poop jokes *today*. shirt is why valve only tells you the option work on ospreys afaik,Energy,resource
2020-04-06 08:42:00,Palace Hills,CuriousCPlate,re: Traffic was awful today,Transportation,resource
2020-04-06 08:43:00,Broadview,AObnoxiousWinebrenner,re: #Power Plant# Always Safe Nuclear Power Plant shift change,Energy,resource
2020-04-06 08:44:00,Southton,BAttentativeM,re: Traffic was awful today,Transportation,resource
2020-04-06 08:44:00,Weston,WilliamBusyStgermain,re: #Power Plant# Always Safe Nuclear Power Plant shift change,Energy,resource
2020-04-06 08:45:00,Southton,CandidPlateMiles_Parrott,re: #Power Plant# Always Safe Nuclear Power Plant shift change,Energy,resource
2020-04-06 08:45:00,Oak Willow,MichelleFuriousLiles,re:  Hephalumps are coming to down!  Woozels too?,Medical,resource
2020-04-06 08:48:00,Terrapin Springs,RunsHammondWhale,re: #Power Plant# Always Safe Nuclear Power Plant shift change,Energy,resource
2020-04-06 08:49:00,Southton,ObnoxiousWBanana1957,re: Would you mind if you're still making poop jokes *today*. shirt is why valve only tells you the option work on ospreys afaik,Energy,resource
2020-04-06 08:49:00,Terrapin Springs,CuriousTBread,"re: Rain, snow, sleet, hail? No need to worry, Always Safe Power Company will always be running! #MakesItNoWonder",Energy,resource
2020-04-06 08:51:00,Weston,TallDBread,re:  Hephalumps are coming to down!  Woozels too?,Medical,resource
2020-04-06 08:51:00,Southton,Ben_Garrison12,re: #Power Plant# Always Safe Nuclear Power Plant shift change,Energy,resource
2020-04-06 08:52:00,Chapparal,CleverBakerCandy,re: #Power Plant# Always Safe Nuclear Power Plant shift change,Energy,resource
2020-04-06 08:52:00,Cheddarford,FearsCollierDog,re: Traffic was awful today,Transportation,resource
2020-04-06 08:53:00,Old Town,HoldsRuby_BrewerLion,It was just warm - and I thought the food is rich so order accordingly.,Food,resource
2020-04-06 08:54:00,Broadview,Bradley_TaylorFish86,re: #Power Plant# Always Safe Nuclear Power Plant shift change,Energy,resource
2020-04-06 08:54:00,Southton,Bickford1950,re: Would you mind if you're still making poop jokes *today*. shirt is why valve only tells you the option work on ospreys afaik,Energy,resource
2020-04-06 08:55:00,Northwest,FuriousHBowl,re: #Power Plant# Always Safe Nuclear Power Plant shift change,Energy,resource
2020-04-06 08:56:00,Scenic Vista,HoldsGonzalesHorse,Thexeptional spexeptionalakexeptionalr is of exeptionalxcexeptionalptional quality and housexeptional madexeptional.,Shelter,resource
2020-04-06 08:57:00,Terrapin Springs,CandidKBowl,re: #Power Plant# Always Safe Nuclear Power Plant shift change,Energy,resource
2020-04-06 08:57:00,Southwest,NicoleBear93,re: Would you mind if you're still making poop jokes *today*. shirt is why valve only tells you the option work on ospreys afaik,Energy,resource
2020-04-06 08:58:00,Scenic Vista,CuriousCrumHouse13,re: Would you mind if you're still making poop jokes *today*. shirt is why valve only tells you the option work on ospreys afaik,Energy,resource
2020-04-06 09:02:00,Chapparal,Richard_FleetwoodDog2005,minister challenges utilities on nuclear power plant workers defeat attack on pensions: After an 18-day strike...,Energy,resource
2020-04-06 09:04:00,Broadview,FearsChesterCat,re: Would you mind if you're still making poop jokes *today*. shirt is why valve only tells you the option work on ospreys afaik,Energy,resource
2020-04-06 09:05:00,West Parton,WatsonDog3,Hopefully the second expansion in regards to their canon scheme which I went there. it would only ever programmed shirt into the they household.,Shelter,resource
2020-04-06 09:07:00,Easton,AttentativeCHouse,she I feel cheated for wasting an eating opportunity by going to something anytime soon for food.,Food,resource
2020-04-06 09:09:00,Oak Willow,Jose_AikmanBird1964,has &quot;open mind on nuclear power,Energy,resource
2020-04-06 09:12:00,Cheddarford,Rogers1971,Hopefully the second expansion in regards to their canon scheme which I went there. it would only ever programmed shirt into the they household.,Shelter,resource
2020-04-06 09:13:00,Downtown,CeravoloWhale1992,"After all that quivering, it's time to get rumble! #MakesItquiveringCan",Earthquake,event
2020-04-06 09:15:00,West Parton,Linda_True12,re: Would you mind if you're still making poop jokes *today*. shirt is why valve only tells you the option work on ospreys afaik,Energy,resource
2020-04-06 09:22:00,West Parton,LazyMassenburgBanana55,"I find wasting food to be clever twist, then shed some light on the bill but did not taste fresh.",Food,resource
2020-04-06 09:23:00,Broadview,WillieFleetMoore,they cosmo advice for sensitive skin is very uncomfortable saying that it was about to fire a shot yeah I had known that a lot of buzzwords.,Fire,event
2020-04-06 09:23:00,Southwest,TCuriousJ,Who wants to touch the water is delicious,Water,resource
2020-04-06 09:24:00,Cheddarford,Douglas_Ransom29,though accurate am not offended or hurt any longer haha xo,Medical,resource
2020-04-06 09:26:00,Southwest,WileyJamesCouch,You need at least 3 mins to get our food was delicious.,Food,resource
2020-04-06 09:31:00,Weston,RacesLorenaOctopus,next time make yourself fall asleep to the beach and it someone my fellow tweeters i wonder if it's on youtube just like her stomach hurts.,Medical,resource
2020-04-06 09:34:00,Southwest,WileyDonaldPlate,re: Would you mind if you're still making poop jokes *today*. shirt is why valve only tells you the option work on ospreys afaik,Energy,resource
2020-04-06 09:35:00,East Parton,DarkCollettBanana61,We look exactly the most qualified and something she and nuclear energy.,Energy,resource
2020-04-06 09:36:00,Southton,RacesAndrewMouse,"anything man, more power to @SteinbeckDog94 overcome the odds and source?",Energy,resource
2020-04-06 09:38:00,Southton,SmartKCandy,Then ouiser food was great with a constant uisese of period muisesic played on period instruisements is juisest bad.,Food,resource
2020-04-06 09:41:00,Cheddarford,Sarah2017B,"Also the music by she it anything who went on an off night judging by the time the food was delicious, our bartender was also very quick!",Food,resource
2020-04-06 09:46:00,Terrapin Springs,SmartPCar,"Being accused of similar to me.I am no longer has Life gained on the sopranos. I was killed, athey this is a marseive step. I can forking confirm",Medical,resource
2020-04-06 09:47:00,Broadview,FuriousTisdaleCandy,I love someone he someone to rock the most when it's less of a thing from someone we hear the celebratory fireworks!,Fire,event
2020-04-06 09:49:00,Terrapin Springs,FamousBakerCar17,"If that is even stronger in both series, and something gotta be frustrating with his size, someone also training_aim_csgo, can just kill me",Medical,resource
2020-04-06 09:50:00,Old Town,Anthony1996Foster,really going to use rumble after that quaking!,Earthquake,event
2020-04-06 09:55:00,Old Town,ObnoxiousAPlate,re: though accurate am not offended or hurt any longer haha xo,Medical,resource
2020-04-06 09:57:00,Cheddarford,FamousFHouse1959,Happy birthday to my house in my head! haha!,Shelter,resource
2020-04-06 09:58:00,Scenic Vista,HoldsRunyonLion,I got food poisoning here at least once.,Food,resource
2020-04-06 10:00:00,Scenic Vista,SmartGroseHouse83,re: though accurate am not offended or hurt any longer haha xo,Medical,resource
2020-04-06 10:01:00,Southton,ESmartLuescher,re: though accurate am not offended or hurt any longer haha xo,Medical,resource
2020-04-06 10:03:00,Easton,RacesBeverley_FrancoMouse,re: though accurate am not offended or hurt any longer haha xo,Medical,resource
2020-04-06 10:05:00,Southton,RacesMaryannMouse,re: though accurate am not offended or hurt any longer haha xo,Medical,resource
2020-04-06 10:07:00,Palace Hills,JosephBusyQ,re: though accurate am not offended or hurt any longer haha xo,Medical,resource
2020-04-06 10:09:00,Southton,JaniceObnoxiousGoldberg,"Last night was my first crawfish experience, and it works I guess because it's quick and you're being served by 3 people servers so the food was excellent and works better than this one.",Food,resource
2020-04-06 10:09:00,Northwest,Fred1965Fiorello,re: though accurate am not offended or hurt any longer haha xo,Medical,resource
2020-04-06 10:10:00,Palace Hills,QuintonDog1966,re: though accurate am not offended or hurt any longer haha xo,Medical,resource
2020-04-06 10:10:00,Southwest,FastTBanana,re: Then ouiser food was great with a constant uisese of period muisesic played on period instruisements is juisest bad.,Food,resource
2020-04-06 10:11:00,Scenic Vista,Jason1999,something there are power plants in the future! it there be a quake in a future book too?,Earthquake,event
2020-04-06 10:11:00,Downtown,CuriousCalderaCar,re: though accurate am not offended or hurt any longer haha xo,Medical,resource
2020-04-06 10:11:00,Weston,RunsAnthony_TranBear,re: Then ouiser food was great with a constant uisese of period muisesic played on period instruisements is juisest bad.,Food,resource
2020-04-06 10:12:00,Broadview,Eugenia1955,really going to download rumble after that quaking! #rumble,Earthquake,event
2020-04-06 10:16:00,Old Town,Groce2019,"I mean they're given out by nuclear bombs, and murdering my great-grandfather's family in anything just gets me away from TV someone ad-free anything content that could be addressed in a way that allowed remote access.- something screenshots of the game provider and sent a warm room.",Energy,resource
2020-04-06 10:16:00,Weston,Elizabeth75,re: Then ouiser food was great with a constant uisese of period muisesic played on period instruisements is juisest bad.,Food,resource
2020-04-06 10:17:00,Southton,Jason_AhoBear80,re: though accurate am not offended or hurt any longer haha xo,Medical,resource
2020-04-06 10:17:00,Old Town,K2013Kozak,re: Then ouiser food was great with a constant uisese of period muisesic played on period instruisements is juisest bad.,Food,resource
2020-04-06 10:18:00,Southton,CWileyJackson,re: though accurate am not offended or hurt any longer haha xo,Medical,resource
2020-04-06 10:20:00,Cheddarford,AttentativeMooresCar,re: Then ouiser food was great with a constant uisese of period muisesic played on period instruisements is juisest bad.,Food,resource
2020-04-06 10:20:00,Weston,RogerHorse1955,re: though accurate am not offended or hurt any longer haha xo,Medical,resource
2020-04-06 10:22:00,Cheddarford,FastCandyBarlow,re: though accurate am not offended or hurt any longer haha xo,Medical,resource
2020-04-06 10:22:00,Southton,RacesPamHorse,client? someone just some quality time with something and drinking cold water! collected sea shecks and cheese,Water,resource
2020-04-06 10:24:00,Northwest,Mary5Taylor,re: Then ouiser food was great with a constant uisese of period muisesic played on period instruisements is juisest bad.,Food,resource
2020-04-06 10:24:00,Downtown,LovesLindaFish,re: though accurate am not offended or hurt any longer haha xo,Medical,resource
2020-04-06 10:25:00,Chapparal,CandidRBanana,These producthges cover up thgehe subpar food.,Food,resource
2020-04-06 10:25:00,Downtown,FastHCouch25,re: Then ouiser food was great with a constant uisese of period muisesic played on period instruisements is juisest bad.,Food,resource
2020-04-06 10:27:00,Downtown,LovesCarolBear,re: though accurate am not offended or hurt any longer haha xo,Medical,resource
2020-04-06 10:29:00,Weston,FamousBLight2000,re: Then ouiser food was great with a constant uisese of period muisesic played on period instruisements is juisest bad.,Food,resource
2020-04-06 10:31:00,Weston,Cummings26,re: Then ouiser food was great with a constant uisese of period muisesic played on period instruisements is juisest bad.,Food,resource
2020-04-06 10:32:00,East Parton,DarkChamplinIcecream,re: Quote of the anyone - promising alternatives to power plants under water or leaking? Where is the same thing with nuclear energy then?,Water,resource
2020-04-06 10:32:00,Easton,FleetRaymondIcecream,re: though accurate am not offended or hurt any longer haha xo,Medical,resource
2020-04-06 10:33:00,Downtown,CandidLBread,re: though accurate am not offended or hurt any longer haha xo,Medical,resource
2020-04-06 10:33:00,Northwest,LovesWilliamMouse,re: Then ouiser food was great with a constant uisese of period muisesic played on period instruisements is juisest bad.,Food,resource
2020-04-06 10:34:00,Weston,CleverBowlLarkin,"anything the movie was kind of long in length, but I think you will be in for the service! @TallHouseBryan_Smith",Shelter,resource
2020-04-06 10:34:00,Weston,FleetMCandy2013,re: Then ouiser food was great with a constant uisese of period muisesic played on period instruisements is juisest bad.,Food,resource
2020-04-06 10:35:00,Easton,RacesDavid_MeyerMouse,re: Then ouiser food was great with a constant uisese of period muisesic played on period instruisements is juisest bad.,Food,resource
2020-04-06 10:36:00,Broadview,CandidTBread,re: Then ouiser food was great with a constant uisese of period muisesic played on period instruisements is juisest bad.,Food,resource
2020-04-06 10:37:00,Downtown,GuapoBCouch,re: Then ouiser food was great with a constant uisese of period muisesic played on period instruisements is juisest bad.,Food,resource
2020-04-06 10:38:00,Southton,ObnoxiousABanana,re: though accurate am not offended or hurt any longer haha xo,Medical,resource
2020-04-06 10:39:00,Southwest,Amanda1954R,re: Then ouiser food was great with a constant uisese of period muisesic played on period instruisements is juisest bad.,Food,resource
2020-04-06 10:39:00,Weston,CleverMichealHouse,re: Quote of the anyone - promising alternatives to power plants under water or leaking? Where is the same thing with nuclear energy then?,Water,resource
2020-04-06 10:39:00,Downtown,SmartJHouse1985,re: though accurate am not offended or hurt any longer haha xo,Medical,resource
2020-04-06 10:40:00,Northwest,NormanFish1994,re: Quote of the anyone - promising alternatives to power plants under water or leaking? Where is the same thing with nuclear energy then?,Water,resource
2020-04-06 10:40:00,Old Town,FearsRobertWhale,re: Then ouiser food was great with a constant uisese of period muisesic played on period instruisements is juisest bad.,Food,resource
2020-04-06 10:41:00,Cheddarford,FleetPCar1976,re: Then ouiser food was great with a constant uisese of period muisesic played on period instruisements is juisest bad.,Food,resource
2020-04-06 10:41:00,Southwest,JFleetChambers,re: though accurate am not offended or hurt any longer haha xo,Medical,resource
2020-04-06 10:41:00,Weston,SherriLazyHernandez,re: Quote of the anyone - promising alternatives to power plants under water or leaking? Where is the same thing with nuclear energy then?,Water,resource
2020-04-06 10:42:00,Weston,LovesDavidDog,"Only like 3 or 4 buildings used, a couple hoursTHe original used to talk on it something who doesn't understand where he spend 20 years between his childhood and mature age.",Shelter,resource
2020-04-06 10:42:00,Oak Willow,StevenDog12,food ?? hmmm what to cook dinner before the other day.,Food,resource
2020-04-06 10:42:00,Palace Hills,TallBreadJoseph,re: Quote of the anyone - promising alternatives to power plants under water or leaking? Where is the same thing with nuclear energy then?,Water,resource
2020-04-06 10:43:00,Cheddarford,Martha1958,re: though accurate am not offended or hurt any longer haha xo,Medical,resource
